emp_no,title,from_date,to_date
10001,Manager,7/15/2001,2/28/2005
10001,Senior Manager,2/28/2005,1/1/9999
10002,Analyst,2/28/2005,1/1/2007
10002,Senior Analyst,1/1/2007,1/1/9999
10003,Coordinator,11/10/2003,1/1/2006
10003,Manager,1/1/2006,12/31/2010
10004,Engineer,9/15/2007,1/1/9999
10005,Sales Associate,4/20/2002,1/1/9999
10006,Analyst,3/18/2004,1/1/9999
10007,Manager,8/22/2006,1/1/9999
10008,Coordinator,11/30/2008,1/1/9999
10009,Engineer,5/14/2010,1/1/9999
10010,Sales Associate,3/26/2009,1/1/9999
